Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 500),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 500),Unit Price (@ Batch Size: 500),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 500) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
311-0.0GRTR-ND,1,Yageo,RC0603JR-070RL,https://octopart.com/rc0603jr-070rl-yageo-1241539,RC Series 0603 0.1 W 0 Ohm Jumper Surface Mount Thick Film Chip Resistor,0,R18,R0603,,20w,Compliant,500,311-0.0GRCT-ND,603-RC0603JR-070RL,Cut Tape,Tape & Reel,0.00424,0.005,5497750,1618839,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=1241539&sid=459&sig=0c106d9&vpid=115263549&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=1241539&sid=2401&sig=079fa20&vpid=115233278&ai4=706,Utmel Electronic,RC0603JR-070RL,,0.00096,0.00096,0.48000000000000004,188465,100,https://octopart.com/click/track?country=FR&ct=offers&ppid=1241539&sid=29008&sig=09924df&vpid=618310917&ai4=706,
RC0603FR-071K5L,2,Yageo,RC0603FR-071K5L,https://octopart.com/rc0603fr-071k5l-yageo-55458478,Res General Purpose Thick Film 0603 1.5K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R,1.5k,"R8, R10",R0603,,30w,Compliant,1000,311-1.50KHRCT-ND,603-RC0603FR-071K5L,Cut Tape,Tape & Reel,0.00436,0.005,698372,0,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=55458478&sid=459&sig=0b06e3b&vpid=188128903&ai4=706,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=55458478&sid=2401&sig=038d1d1&vpid=187885223&ai4=706,Utmel Electronic,RC0603FR-071K5L,,0.00093,0.00186,0.93,203351,100,https://octopart.com/click/track?country=FR&ct=offers&ppid=55458478&sid=29008&sig=0d0dc56&vpid=618310295&ai4=706,
311-1343-2-ND,4,Yageo,CC0603ZRY5V9BB104,https://octopart.com/cc0603zry5v9bb104-yageo-4507169,0603 0.1 uF 50 V -20 / +80 % Tolerance Y5V SMT Multilayer Ceramic Capacitor,100n,"C1, C4, C6, C8",C0603,,20w,Compliant,2000,311-1343-1-ND,603-C0603ZRY5V9BB104,Cut Tape,Tape & Reel,0.01199,0.011,13525558,34155912,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=4507169&sid=459&sig=0ecc57c&vpid=34209616&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=4507169&sid=2401&sig=0a7ba05&vpid=37684711&ai4=706,Future Electronics,1696376,Cut Tape,0.0043,0.0172,8.6,2509509,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=4507169&sid=2454&sig=0c8460d&vpid=19677347&ai4=706,
RC0603FR-0710KL,22,Yageo,RC0603FR-0710KL,https://octopart.com/rc0603fr-0710kl-yageo-40025538,Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R,10k,"R1, R2, R3, R4, R11, R13, R15, R26, R28, R29, R32, R34, R35, R38, R40, R41, R44, R45, R46, R47, R48, R49",R0603,,30w,Compliant,11000,311-10.0KHRTR-ND,603-RC0603FR-0710KL,Tape & Reel,Tape & Reel,0.00312,0.002,33044719,2891937,5000,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=40025538&sid=459&sig=01268f8&vpid=114982761&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=40025538&sid=2401&sig=0830c62&vpid=115161137&ai4=706,Utmel Electronic,RC0603FR-0710KL,,0.00076,0.016720000000000002,8.360000000000001,187077,100,https://octopart.com/click/track?country=FR&ct=offers&ppid=40025538&sid=29008&sig=00028bd&vpid=618310151&ai4=706,
CC0603KRX7R9BB103,10,Yageo,CC0603KRX7R9BB103,https://octopart.com/cc0603krx7r9bb103-yageo-192938,"SMD Multilayer Ceramic Capacitor, 10000 pF, 50 V, 0603 [1608 Metric], ± 10%, X7R, CC Series",10n,"C3, C35, C36, C38, C39, C41, C42, C44, C45, C46",C0603,,39w,Compliant,5000,311-1085-2-ND,603-CC603KRX7R9BB103,Tape & Reel,Tape & Reel,0.00767,0.01,1796000,532669,4000,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=192938&sid=459&sig=0b7bfbc&vpid=119988327&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=192938&sid=2401&sig=0c6d7ce&vpid=115540541&ai4=706,Utmel Electronic,CC0603KRX7R9BB103,,0.00231,0.0231,11.55,437380,100,https://octopart.com/click/track?country=FR&ct=offers&ppid=192938&sid=29008&sig=0670b70&vpid=618305723&ai4=706,
GRM21BR61E106KA73L,4,Murata,GRM21BR61E106KA73L,https://octopart.com/grm21br61e106ka73l-murata-11231261,0805 10 uF 25 V ±10% Tolerance X5R SMT Multilayer Ceramic Capacitor,10u,"C2, C5, C10, C12",C0805,Production (Last Updated: 3 weeks ago),23w,Compliant,2000,490-5523-1-ND,81-GRM21BR61E106KA3L,Cut Tape,Tape & Reel,0.11113,0.107,6843979,5264,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=11231261&sid=459&sig=023f1b7&vpid=34233310&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=11231261&sid=2401&sig=0b53e2f&vpid=37765992&ai4=706,LCSC,C84416,,0.0197,0.0788,39.4,549640,20,https://octopart.com/click/track?country=FR&ct=offers&ppid=11231261&sid=27971&sig=02a3aac&vpid=447876203&ai4=706,
GRM1885C1H221JA01D,2,Murata,GRM1885C1H221JA01D,https://octopart.com/grm1885c1h221ja01d-murata-196153,0603 220 pF 50V ±5 % Tolerance C0G SMT Multilayer Ceramic Capacitor,220p COG,"C11, C13",C0603,NRND (Last Updated: 3 weeks ago),29w,Compliant,1000,490-1435-1-ND,81-GRM39C221J050,Cut Tape,Tape & Reel,0.02111,0.022,208424,6422,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=196153&sid=459&sig=02834a7&vpid=1286530&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=196153&sid=2401&sig=0dbc4ba&vpid=37708165&ai4=706,Avnet,GRM1885C1H221JA01D,,0.0095,0.019,9.5,0,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=196153&sid=5822&sig=005bcde&vpid=17686838&ai4=706,
GRM1885C1H272JA01D,2,Murata,GRM1885C1H272JA01D,https://octopart.com/grm1885c1h272ja01d-murata-196902,0603 2.7 nF 50 V ±5 % Tolerance C0G SMT Multilayer Ceramic Capacitor,2700p COG,"C15, C17",C0603,Production (Last Updated: 3 weeks ago),29w,Compliant,1000,490-3283-1-ND,81-GRM185C1H272JA01D,Cut Tape,Tape & Reel,0.02991,0.029,24676,76606,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=196902&sid=459&sig=08c8a90&vpid=1070695&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=196902&sid=2401&sig=0bcb83c&vpid=37797769&ai4=706,Freelance Electronics,GRM1885C1H272JA01D,,0.00629,0.01258,6.289999999999999,3165,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=196902&sid=13062&sig=016915a&vpid=511882812&ai4=706,
RC0603FR-073K3L,2,Yageo,RC0603FR-073K3L,https://octopart.com/rc0603fr-073k3l-yageo-40011875,Res General Purpose Thick Film 0603 3.3K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R,3.3k,"R7, R9",R0603,,30w,Compliant,1000,311-3.30KHRCT-ND,603-RC0603FR-073K3L,Cut Tape,Tape & Reel,0.00436,0.005,657315,198322,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=40011875&sid=459&sig=0735e2e&vpid=114982962&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=40011875&sid=2401&sig=025390a&vpid=114830356&ai4=706,Utmel Electronic,RC0603FR-073K3L,,0.00122,0.00244,1.22,190089,100,https://octopart.com/click/track?country=FR&ct=offers&ppid=40011875&sid=29008&sig=0a83642&vpid=618310573&ai4=706,
